IntendedDistance_m,Location,average_depth_m
4,outdoor1stfloor,4.697856412144927
4,outdoor1stfloor,4.1591023953489525
4,outdoor1stfloor,4.282532061816427
4,outdoor1stfloor,4.273224450193885
4,outdoor1stfloor,4.3502107329397015
4,outdoor1stfloor,4.546260246799962
4,outdoor1stfloor,4.191061713866739
4,outdoor1stfloor,4.11851045954836
4,outdoor1stfloor,4.658084696132985
4,outdoor1stfloor,4.374033085853542
4,outdoor1stfloor,3.9618974052486657
4,outdoor1stfloor,4.573414067872143
4,outdoor1stfloor,4.050455425677599
4,outdoor1stfloor,4.176143557456657
4,outdoor1stfloor,4.557393431576358
4,outdoor1stfloor,4.161163680541151
4,outdoor1stfloor,4.166982205496783
4,outdoor1stfloor,3.983608053185716
4,outdoor1stfloor,4.330135340805517
4,outdoor1stfloor,5.105904710198057
4,outdoor1stfloor,4.009917581765204
4,outdoor1stfloor,4.562497844227768
4,outdoor1stfloor,4.942844258607053
4,outdoor1stfloor,4.127960759447888
4,outdoor1stfloor,5.161520142463276
4,outdoor1stfloor,4.249967008781713
4,outdoor1stfloor,4.162657505131019
4,outdoor1stfloor,4.249643322807512
4,outdoor1stfloor,4.11276723375983
4,outdoor1stfloor,4.388702417866194
4,outdoor1stfloor,4.345130113591733
4,outdoor1stfloor,4.161766963694179
4,outdoor1stfloor,4.333039984813871
4,outdoor1stfloor,3.969996980498735
4,outdoor1stfloor,4.45782579894175
4,outdoor1stfloor,4.300951618352396
4,outdoor1stfloor,4.475011698553075
4,outdoor1stfloor,4.9321566653193205
4,outdoor1stfloor,4.32419105712306
4,outdoor1stfloor,4.731674776129105
4,outdoor1stfloor,3.9806576135935714
4,outdoor1stfloor,4.206095199778793
4,outdoor1stfloor,4.406469440065289
4,outdoor1stfloor,4.420044039237241
4,outdoor1stfloor,4.59330048626657
4,outdoor1stfloor,4.4181098630823135
4,outdoor1stfloor,4.40732326778337
4,outdoor1stfloor,4.3867142210965895
4,outdoor1stfloor,4.199170704500402
4,outdoor1stfloor,4.135805424096194
4,outdoor1stfloor,4.271098631319557
4,outdoor1stfloor,5.628314384977635
4,outdoor1stfloor,4.416568837226734
4,outdoor1stfloor,4.13211176462325
4,outdoor1stfloor,4.174078238185473
4,outdoor1stfloor,4.673780343696498
4,outdoor1stfloor,4.172017013194784
4,outdoor1stfloor,4.49762652941526
4,outdoor1stfloor,4.206783409521528
4,outdoor1stfloor,4.181189338315169
4,outdoor1stfloor,4.349077954559385
4,outdoor1stfloor,4.399021740042789
4,outdoor1stfloor,4.2802195015451225
4,outdoor1stfloor,4.110895524836382
4,outdoor1stfloor,4.085093570795911
4,outdoor1stfloor,4.265939596560643
4,outdoor1stfloor,4.449603767830184
4,outdoor1stfloor,4.181428570862331
4,outdoor1stfloor,4.240429289033783
4,outdoor1stfloor,3.914512962760726
4,outdoor1stfloor,4.393019349646941
4,outdoor1stfloor,4.210804141911169
4,outdoor1stfloor,4.050707118073931
4,outdoor1stfloor,4.389128677941091
4,outdoor1stfloor,4.345260392235818
4,outdoor1stfloor,4.081770017662209
4,outdoor1stfloor,4.039080801867821
4,outdoor1stfloor,4.513701551685
4,outdoor1stfloor,4.3556636854518125
4,outdoor1stfloor,4.031213080683055
4,outdoor1stfloor,4.273446743858322
4,outdoor1stfloor,4.526572847944892
4,outdoor1stfloor,4.066982649311652
4,outdoor1stfloor,3.928182939036221
4,outdoor1stfloor,4.44200279942211
4,outdoor1stfloor,4.199354463751034
4,outdoor1stfloor,4.299355663265499
4,outdoor1stfloor,4.409778673102072
4,outdoor1stfloor,4.745746396089185
4,outdoor1stfloor,4.512721938866856
4,outdoor1stfloor,4.169921380326638
4,outdoor1stfloor,4.167431008511083
4,outdoor1stfloor,4.361147692224379
4,outdoor1stfloor,4.20203358274482
4,outdoor1stfloor,4.468345535976022
4,outdoor1stfloor,4.084149187275258
4,outdoor1stfloor,4.6165560634304805
4,outdoor1stfloor,4.227828048912313
4,outdoor1stfloor,4.2601111808647
4,outdoor1stfloor,4.387716964517468
4,outdoor1stfloor,4.090107802220338
4,outdoor1stfloor,4.298458759839964
4,outdoor1stfloor,4.460703380557959
4,outdoor1stfloor,4.2714030906311
4,outdoor1stfloor,4.334634584383525
4,outdoor1stfloor,4.358799958790257
4,outdoor1stfloor,4.116684548746576
4,outdoor1stfloor,4.2202628563578095
4,outdoor1stfloor,4.5139032211884125
4,outdoor1stfloor,4.607948164071263
4,outdoor1stfloor,4.369333185120227
4,outdoor1stfloor,4.261125958136265
4,outdoor1stfloor,4.117216167430695
4,outdoor1stfloor,4.392843159273473
4,outdoor1stfloor,4.040729983023367
4,outdoor1stfloor,4.24587032051351
4,outdoor1stfloor,4.337309008992017
4,outdoor1stfloor,4.206207837015645
4,outdoor1stfloor,4.147648946337497
4,outdoor1stfloor,3.8618478655471273
4,outdoor1stfloor,4.095767979091376
4,outdoor1stfloor,4.536917606796361
4,outdoor1stfloor,4.2841181443221785
4,outdoor1stfloor,4.227220995889248
4,outdoor1stfloor,4.090951593426112
4,outdoor1stfloor,4.306605620413516
4,outdoor1stfloor,4.780994292366931
4,outdoor1stfloor,4.354459498861116
4,outdoor1stfloor,4.706469874531656
4,outdoor1stfloor,4.3252203508159575
4,outdoor1stfloor,4.13277141699133
4,outdoor1stfloor,4.454517202969233
4,outdoor1stfloor,4.706366352572654
4,outdoor1stfloor,4.128056226867693
4,outdoor1stfloor,3.888210014547732
4,outdoor1stfloor,4.231723212359694
4,outdoor1stfloor,4.792167954165833
4,outdoor1stfloor,4.224472735396881
4,outdoor1stfloor,4.283314832705045
4,outdoor1stfloor,3.951749443966611
4,outdoor1stfloor,4.71551478708172
4,outdoor1stfloor,3.89809354614535
4,outdoor1stfloor,4.030822582026181
4,outdoor1stfloor,4.278638470716083
4,outdoor1stfloor,4.144956344768232
4,outdoor1stfloor,4.575970212868631
4,outdoor1stfloor,4.14957881344661
4,outdoor1stfloor,4.094319484935364
4,outdoor1stfloor,4.069081511952311
