timestamp,x,y,depth,gyro_data.x,gyro_data.y,gyro_data.z,accel_data.x,accel_data.y,accel_data.z,ground_truth
2025-03-05 02:44:46.993686,320,240,4.7,-0.0005,-0.0091,0.0043,0.3825,-9.0515,-0.049,4.5
2025-03-05 02:44:47.026992,320,240,4.833,0.0027,-0.008,0.0016,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:47.093811,320,240,4.873,0.0,-0.0059,0.0016,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:47.125514,320,240,4.663,-0.0005,-0.0085,0.0005,0.3825,-9.0712,-0.049,4.5
2025-03-05 02:44:47.193716,320,240,4.934,0.0016,-0.0027,0.0027,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:47.225440,320,240,4.934,0.0005,-0.0085,0.0043,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:47.293797,320,240,4.934,-0.0021,-0.0101,0.0011,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:47.360293,320,240,4.794,-0.0016,-0.008,0.0043,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:47.393712,320,240,4.756,-0.0027,-0.0064,0.0011,0.3628,-9.0515,-0.049,4.5
2025-03-05 02:44:47.460454,320,240,4.681,-0.0021,-0.0091,0.0021,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:47.526829,320,240,4.913,-0.0048,-0.0053,0.0043,0.3825,-9.0515,-0.0294,4.5
2025-03-05 02:44:47.560489,320,240,4.756,0.0,-0.0053,0.0016,0.3628,-9.0712,-0.049,4.5
2025-03-05 02:44:47.627305,320,240,4.853,0.0032,-0.0091,0.0,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:47.660624,320,240,4.954,0.0016,-0.0064,0.0,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:47.727408,320,240,4.893,-0.0011,-0.0027,0.0037,0.3825,-9.0515,-0.0294,4.5
2025-03-05 02:44:47.760702,320,240,4.913,-0.0011,-0.0059,0.0005,0.3825,-9.0515,-0.049,4.5
2025-03-05 02:44:47.827401,320,240,4.7,-0.0011,-0.0064,-0.0016,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:47.860776,320,240,4.873,-0.0021,-0.0027,0.0005,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:47.927357,320,240,4.794,-0.0016,-0.0043,0.0005,0.3628,-9.0712,-0.049,4.5
2025-03-05 02:44:47.960780,320,240,4.934,0.0011,-0.0075,0.0048,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:48.027462,320,240,4.609,-0.0005,-0.008,0.0011,0.3628,-9.0712,-0.049,4.5
2025-03-05 02:44:48.094102,320,240,4.794,0.0053,-0.0059,0.0027,0.3432,-9.0712,-0.049,4.5
2025-03-05 02:44:48.126102,320,240,4.681,0.0011,-0.0069,0.0011,0.3628,-9.0712,-0.049,4.5
2025-03-05 02:44:48.194083,320,240,4.954,-0.0011,-0.0133,0.0016,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:48.227463,320,240,4.934,-0.0016,-0.0053,0.0005,0.3432,-9.0515,-0.0098,4.5
2025-03-05 02:44:48.294107,320,240,4.853,-0.0011,-0.0096,0.0016,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:48.327809,320,240,4.573,0.0011,-0.0091,0.0075,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:48.394028,320,240,4.814,-0.0032,-0.0069,0.0005,0.3628,-9.0515,-0.0098,4.5
2025-03-05 02:44:48.427493,320,240,4.833,0.0021,-0.0043,0.0037,0.3825,-9.0712,-0.0294,4.5
2025-03-05 02:44:48.494411,320,240,4.794,0.0005,-0.0048,-0.0011,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:48.527841,320,240,4.853,0.0005,-0.0069,0.0011,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:48.592789,320,240,4.794,-0.0032,-0.0123,0.0043,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:48.626344,320,240,4.913,-0.0027,-0.0069,0.0032,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:48.694560,320,240,4.814,-0.0037,-0.0096,0.0032,0.3628,-9.0515,-0.0294,4.5
2025-03-05 02:44:48.760746,320,240,4.681,0.0027,-0.0037,-0.0011,0.3628,-9.0712,-0.049,4.5
2025-03-05 02:44:48.794536,320,240,4.913,0.0,-0.0048,0.0,0.3628,-9.0515,-0.049,4.5
2025-03-05 02:44:48.861363,320,240,4.7,0.0027,-0.0101,0.0011,0.3628,-9.0712,-0.0294,4.5
2025-03-05 02:44:48.894359,320,240,4.626,0.0016,-0.0091,0.0027,0.3628,-9.0515,-0.0294,4.5
