source_file,sample_id,timestamp,session_start,sample_count,camera_width,camera_height,depth_scale,origin_x,origin_y,detection_id,class_id,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_center_x,bbox_center_y,bbox_width,bbox_height,rel_x,rel_y,mean_depth,median_depth,min_depth,max_depth,std_depth,valid_pixels,total_pixels,fill_ratio,center_depth_raw,center_depth_meters
sample_1507_20250530_152752_764_metadata.json,sample_1507_20250530_152752_764,20250530_152752_764,2025-05-30T15:22:04.397580,1507,640,480,0.0010000000474974513,320,240,4,1,0.6923519372940063,479,429,484,439,481,434,5,10,161.0,194.0,5.938260282052215,5.898000280139968,5.55200026370585,6.699000318185426,0.2840242948467952,50,50,1.0,5814,5.814000276150182
sample_1507_20250530_152752_764_metadata.json,sample_1507_20250530_152752_764,20250530_152752_764,2025-05-30T15:22:04.397580,1507,640,480,0.0010000000474974513,320,240,5,0,0.5152479410171509,443,444,451,454,447,449,8,10,127.0,209.0,5.099887742231658,5.115000242949463,4.970000236062333,5.223000248079188,0.07164775175395827,80,80,1.0,5052,5.052000239957124
sample_1508_20250530_152752_857_metadata.json,sample_1508_20250530_152752_857,20250530_152752_857,2025-05-30T15:22:04.397580,1508,640,480,0.0010000000474974513,320,240,0,1,0.8769727349281311,400,441,408,452,404,446,8,11,84.0,206.0,7.365119397443431,6.668000316713005,5.1790002459893,13.398000636370853,2.091238553341322,84,88,0.9545454545454546,6848,6.8480003252625465
sample_1508_20250530_152752_857_metadata.json,sample_1508_20250530_152752_857,20250530_152752_857,2025-05-30T15:22:04.397580,1508,640,480,0.0010000000474974513,320,240,1,1,0.825240969657898,317,432,325,443,321,437,8,11,1.0,197.0,10.856387182317365,12.085000574006699,5.707000271067955,19.88100094429683,3.838314037440903,75,88,0.8522727272727273,0,0.0
sample_1508_20250530_152752_857_metadata.json,sample_1508_20250530_152752_857,20250530_152752_857,2025-05-30T15:22:04.397580,1508,640,480,0.0010000000474974513,320,240,2,1,0.7823880314826965,493,448,502,460,497,454,9,12,177.0,214.0,5.362519862549151,4.970000236062333,4.815000228700228,9.199000436929055,0.8978281707708324,102,108,0.9444444444444444,4815,4.815000228700228
sample_1508_20250530_152752_857_metadata.json,sample_1508_20250530_152752_857,20250530_152752_857,2025-05-30T15:22:04.397580,1508,640,480,0.0010000000474974513,320,240,3,1,0.7516121864318848,576,457,586,469,581,463,10,12,261.0,223.0,4.861950230930233,4.891000232310034,4.5990002184407786,5.13600024394691,0.1328516058488458,120,120,1.0,4815,4.815000228700228
sample_1508_20250530_152752_857_metadata.json,sample_1508_20250530_152752_857,20250530_152752_857,2025-05-30T15:22:04.397580,1508,640,480,0.0010000000474974513,320,240,4,1,0.6989238262176514,479,429,484,439,481,434,5,10,161.0,194.0,5.913540280878078,5.898000280139968,5.55200026370585,6.557000311440788,0.2604118561855732,50,50,1.0,5814,5.814000276150182
sample_1509_20250530_152752_951_metadata.json,sample_1509_20250530_152752_951,20250530_152752_951,2025-05-30T15:22:04.397580,1509,640,480,0.0010000000474974513,320,240,0,1,0.8756759762763977,400,441,408,452,404,446,8,11,84.0,206.0,7.460631306741908,6.741000320180319,5.1790002459893,13.696000650525093,2.2050815079397728,84,88,0.9545454545454546,6925,6.92500032891985
sample_1509_20250530_152752_951_metadata.json,sample_1509_20250530_152752_951,20250530_152752_951,2025-05-30T15:22:04.397580,1509,640,480,0.0010000000474974513,320,240,1,1,0.8223690986633301,317,432,325,443,321,437,8,11,1.0,197.0,9.46569665212809,9.3380004435312,5.707000271067955,17.120000813156366,2.8238346550163462,79,88,0.8977272727272727,9338,9.3380004435312
sample_1509_20250530_152752_951_metadata.json,sample_1509_20250530_152752_951,20250530_152752_951,2025-05-30T15:22:04.397580,1509,640,480,0.0010000000474974513,320,240,2,1,0.7865456342697144,493,448,502,460,497,454,9,12,177.0,214.0,5.38425515769917,4.891000232310034,4.778000226942822,10.446000496158376,1.0661527793362018,102,108,0.9444444444444444,4778,4.778000226942822
