Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area
2025-04-08 19:56:36.437,188,88,45,562,479,0.96,205716
2025-04-08 19:56:36.608,189,70,41,549,479,0.95,209802
2025-04-08 19:56:36.782,190,51,38,532,479,0.95,212121
2025-04-08 19:56:36.955,191,31,36,515,479,0.95,214412
2025-04-08 19:56:37.128,192,26,34,509,479,0.95,214935
2025-04-08 19:56:37.301,193,38,33,518,479,0.95,214080
2025-04-08 19:56:37.473,194,57,36,540,479,0.95,213969
2025-04-08 19:56:37.646,195,80,38,559,479,0.95,211239
2025-04-08 19:56:37.819,196,93,37,573,479,0.95,212160
2025-04-08 19:56:37.993,197,104,36,584,479,0.95,212640
2025-04-08 19:56:38.165,198,106,35,587,479,0.95,213564
2025-04-08 19:56:38.339,199,102,34,585,479,0.95,214935
2025-04-08 19:56:38.510,200,96,33,581,479,0.95,216310
2025-04-08 19:56:38.683,201,91,33,573,479,0.95,214972
2025-04-08 19:56:38.857,202,86,35,568,479,0.95,214008
2025-04-08 19:56:39.037,203,85,35,565,479,0.96,213120
2025-04-08 19:56:39.208,204,82,35,562,479,0.96,213120
2025-04-08 19:56:39.376,205,81,35,563,479,0.96,214008
2025-04-08 19:56:39.550,206,80,36,568,479,0.96,216184
2025-04-08 19:56:39.724,207,82,36,576,479,0.95,218842
2025-04-08 19:56:39.897,208,84,36,576,479,0.95,217956
2025-04-08 19:56:40.069,209,85,36,574,479,0.95,216627
2025-04-08 19:56:40.239,210,83,36,567,479,0.96,214412
2025-04-08 19:56:40.422,211,80,36,565,479,0.96,214855
2025-04-08 19:56:40.588,212,78,36,566,479,0.96,216184
2025-04-08 19:56:40.761,213,78,35,567,479,0.96,217116
2025-04-08 19:56:40.935,214,77,35,566,479,0.95,217116
2025-04-08 19:56:41.108,215,77,35,567,479,0.96,217560
2025-04-08 19:56:41.284,216,78,35,571,479,0.95,218892
2025-04-08 19:56:41.457,217,77,33,570,479,0.95,219878
2025-04-08 19:56:41.626,218,77,33,567,479,0.95,218540
2025-04-08 19:56:41.798,219,77,33,564,479,0.96,217202
2025-04-08 19:56:41.972,220,77,34,565,479,0.95,217160
2025-04-08 19:56:42.144,221,77,35,564,479,0.96,216228
2025-04-08 19:56:42.317,222,77,35,563,479,0.96,215784
2025-04-08 19:56:42.494,223,77,36,562,479,0.96,214855
2025-04-08 19:56:42.665,224,80,36,564,479,0.95,214412
2025-04-08 19:56:42.836,225,87,36,568,479,0.95,213083
2025-04-08 19:56:43.011,226,105,38,578,479,0.95,208593
2025-04-08 19:56:43.183,227,125,41,594,479,0.95,205422
2025-04-08 19:56:43.358,228,149,43,610,479,0.95,200996
2025-04-08 19:56:43.529,229,164,45,624,479,0.95,199640
2025-04-08 19:56:43.702,230,179,47,634,479,0.95,196560
2025-04-08 19:56:43.876,231,187,49,638,479,0.96,193930
2025-04-08 19:56:44.049,232,193,47,639,479,0.96,192672
2025-04-08 19:56:44.222,233,196,46,639,479,0.96,191819
2025-04-08 19:56:44.395,234,197,45,639,479,0.96,191828
2025-04-08 19:56:44.571,235,197,40,639,479,0.96,194038
2025-04-08 19:56:44.739,236,195,34,638,479,0.96,197135
2025-04-08 19:56:44.914,237,192,26,639,479,0.96,202491
2025-04-08 19:56:45.086,238,191,20,639,479,0.95,205632
2025-04-08 19:56:45.258,239,190,18,639,479,0.96,206989
2025-04-08 19:56:45.434,240,186,15,639,479,0.96,210192
2025-04-08 19:56:45.605,241,172,8,639,479,0.96,219957
2025-04-08 19:56:45.775,242,155,5,639,479,0.96,229416
2025-04-08 19:56:45.953,243,155,3,639,479,0.96,230384
2025-04-08 19:56:46.137,244,172,7,639,479,0.96,220424
2025-04-08 19:56:46.347,245,173,7,639,478,0.96,219486
2025-04-08 19:56:46.519,246,164,10,635,479,0.95,220899
2025-04-08 19:56:46.713,247,152,20,630,479,0.96,219402
2025-04-08 19:56:46.914,248,139,37,625,479,0.96,214812
2025-04-08 19:56:47.081,249,133,43,624,479,0.95,214076
2025-04-08 19:56:47.254,250,127,44,622,479,0.95,215325
2025-04-08 19:56:47.423,251,125,43,622,479,0.95,216692
2025-04-08 19:56:47.598,252,123,46,621,479,0.95,215634
2025-04-08 19:56:47.788,253,126,59,620,479,0.95,207480
2025-04-08 19:56:47.987,254,125,64,619,479,0.95,205010
2025-04-08 19:56:48.164,255,123,68,616,479,0.94,202623
2025-04-08 19:56:48.334,256,122,70,612,479,0.94,200410
2025-04-08 19:56:48.506,257,121,70,609,479,0.94,199592
2025-04-08 19:56:48.685,258,119,70,609,479,0.94,200410
2025-04-08 19:56:48.854,259,120,69,609,479,0.94,200490
2025-04-08 19:56:49.025,260,120,70,610,479,0.94,200410
2025-04-08 19:56:49.202,261,121,68,609,479,0.94,200568
2025-04-08 19:56:49.370,262,121,64,609,479,0.94,202520
2025-04-08 19:56:49.545,263,119,68,608,479,0.94,200979
2025-04-08 19:56:49.715,264,119,69,606,479,0.94,199670
2025-04-08 19:56:49.889,265,117,70,600,479,0.95,197547
2025-04-08 19:56:50.062,266,116,73,597,479,0.94,195286
2025-04-08 19:56:50.233,267,116,76,596,479,0.95,193440
2025-04-08 19:56:50.405,268,113,76,593,479,0.94,193440
2025-04-08 19:56:50.579,269,114,85,591,479,0.94,187938
2025-04-08 19:56:50.756,270,115,87,588,479,0.94,185416
2025-04-08 19:56:50.927,271,118,94,585,479,0.95,179795
2025-04-08 19:56:51.100,272,118,99,583,479,0.95,176700
2025-04-08 19:56:51.274,273,118,101,580,479,0.95,174636
2025-04-08 19:56:51.448,274,117,98,577,479,0.95,175260
2025-04-08 19:56:51.625,275,116,97,576,479,0.95,175720
2025-04-08 19:56:51.799,276,116,97,576,479,0.95,175720
2025-04-08 19:56:51.974,277,115,97,576,479,0.94,176102
2025-04-08 19:56:52.147,278,113,98,575,479,0.95,176022
2025-04-08 19:56:52.319,279,109,84,571,479,0.95,182490
2025-04-08 19:56:52.496,280,107,74,568,479,0.95,186705
2025-04-08 19:56:52.703,281,102,69,566,479,0.95,190240
2025-04-08 19:56:52.872,282,100,67,564,479,0.95,191168
2025-04-08 19:56:53.046,283,96,65,563,479,0.95,193338
2025-04-08 19:56:53.220,284,92,64,555,479,0.95,192145
2025-04-08 19:56:53.393,285,88,63,542,479,0.96,188864
2025-04-08 19:56:53.565,286,85,65,527,479,0.96,182988
2025-04-08 19:56:53.740,287,76,70,508,479,0.96,176688
2025-04-08 19:56:53.912,288,62,68,486,479,0.95,174264
2025-04-08 19:56:54.084,289,48,63,470,479,0.96,175552
2025-04-08 19:56:54.256,290,34,63,459,479,0.96,176800
2025-04-08 19:56:54.429,291,20,65,447,479,0.97,176778
2025-04-08 19:56:54.605,292,15,68,440,479,0.96,174675
2025-04-08 19:56:54.775,293,14,67,439,479,0.97,175100
2025-04-08 19:56:54.948,294,13,67,438,479,0.96,175100
2025-04-08 19:56:55.122,295,15,69,438,479,0.96,173430
2025-04-08 19:56:55.299,296,12,67,438,479,0.96,175512
2025-04-08 19:56:55.468,297,14,66,439,479,0.96,175525
2025-04-08 19:56:55.642,298,14,65,440,479,0.96,176364
2025-04-08 19:56:55.813,299,15,66,441,479,0.96,175938
2025-04-08 19:56:55.986,300,17,67,441,479,0.96,174688
2025-04-08 19:56:56.161,301,18,67,441,479,0.96,174276
2025-04-08 19:56:56.334,302,18,67,442,479,0.96,174688
2025-04-08 19:56:56.505,303,19,66,442,479,0.97,174699
2025-04-08 19:56:56.679,304,19,66,442,479,0.97,174699
2025-04-08 19:56:56.851,305,17,65,442,479,0.97,175950
2025-04-08 19:56:57.023,306,18,64,444,479,0.97,176790
2025-04-08 19:56:57.198,307,20,63,446,479,0.96,177216
2025-04-08 19:56:57.372,308,21,60,451,479,0.96,180170
2025-04-08 19:56:57.544,309,22,58,456,479,0.96,182714
2025-04-08 19:56:57.718,310,25,53,464,479,0.96,187014
2025-04-08 19:56:57.890,311,39,51,473,479,0.96,185752
2025-04-08 19:56:58.063,312,49,47,482,479,0.96,187056
2025-04-08 19:56:58.235,313,58,40,504,479,0.96,195794
2025-04-08 19:56:58.407,314,71,34,528,479,0.96,203365
2025-04-08 19:56:58.583,315,88,25,550,479,0.96,209748
2025-04-08 19:56:58.754,316,98,18,567,479,0.96,216209
2025-04-08 19:56:58.927,317,108,15,577,479,0.96,217616
2025-04-08 19:56:59.101,318,110,10,583,479,0.95,221837
2025-04-08 19:56:59.330,319,117,7,590,479,0.95,223256
2025-04-08 19:56:59.535,320,129,6,606,479,0.95,225621
2025-04-08 19:56:59.708,321,145,2,624,479,0.96,228483
2025-04-08 19:56:59.880,322,157,5,638,479,0.96,227994
2025-04-08 19:57:00.051,323,165,3,639,478,0.96,225150
2025-04-08 19:57:00.227,324,167,3,639,478,0.96,224200
2025-04-08 19:57:00.399,325,168,5,639,478,0.96,222783
2025-04-08 19:57:00.571,326,167,6,639,479,0.96,223256
2025-04-08 19:57:00.746,327,165,5,639,478,0.96,224202
2025-04-08 19:57:00.920,328,164,5,639,478,0.96,224675
